Gledis-server -config=rocksdb.conf
 %CPU %MEM
189.6 10.3


2014/08/29 18:59:51
 %CPU %MEM
139.8 10.3


2014/08/29 19:00:01
 %CPU %MEM
188.3 10.3


2014/08/29 19:00:11
 %CPU %MEM
192.6 10.3


2014/08/29 19:00:21
 %CPU %MEM
189.5 10.3


2014/08/29 19:00:31
 %CPU %MEM
185.6 10.3


2014/08/29 19:00:41
 %CPU %MEM
 83.5 10.3


2014/08/29 19:00:51
 %CPU %MEM
118.8  9.9


2014/08/29 19:01:01
 %CPU %MEM
189.6  9.9


2014/08/29 19:01:11
 %CPU %MEM
 80.3 10.0


2014/08/29 19:01:21
 %CPU %MEM
245.0 10.3


2014/08/29 19:01:32
 %CPU %MEM
197.4 10.4


2014/08/29 19:01:42
 %CPU %MEM
183.2 10.3


2014/08/29 19:01:52
 %CPU %MEM
193.3 10.3


2014/08/29 19:02:02
 %CPU %MEM
193.7 10.3


2014/08/29 19:02:12
 %CPU %MEM
194.4 10.4


2014/08/29 19:02:22
 %CPU %MEM
186.5 10.4


2014/08/29 19:02:32
 %CPU %MEM
187.7 10.4


2014/08/29 19:02:42
 %CPU %MEM
188.8 10.5


2014/08/29 19:02:52
 %CPU %MEM
181.5 10.5


2014/08/29 19:03:02
 %CPU %MEM
184.1 10.5


2014/08/29 19:03:12
 %CPU %MEM
226.1 10.4


2014/08/29 19:03:22
 %CPU %MEM
108.6  9.9


2014/08/29 19:03:32
 %CPU %MEM
 51.1  9.9


2014/08/29 19:03:42
 %CPU %MEM
 38.5 10.0


2014/08/29 19:03:52
 %CPU %MEM
 21.1 10.1


2014/08/29 19:04:02
 %CPU %MEM
256.7 10.4


2014/08/29 19:04:12
 %CPU %MEM
236.5 10.5


2014/08/29 19:04:22
 %CPU %MEM
175.6 10.5


2014/08/29 19:04:32
 %CPU %MEM
187.9 10.5


2014/08/29 19:04:42
 %CPU %MEM
186.4 10.5


2014/08/29 19:04:52
 %CPU %MEM
 22.1 10.6


2014/08/29 19:05:02
 %CPU %MEM
187.1 10.6


2014/08/29 19:05:12
 %CPU %MEM
184.6 10.6


2014/08/29 19:05:22
 %CPU %MEM
184.2 10.6


2014/08/29 19:05:32
 %CPU %MEM
188.7 10.6


2014/08/29 19:05:42
 %CPU %MEM
188.7 10.6


2014/08/29 19:05:52
 %CPU %MEM
178.4 10.6


2014/08/29 19:06:02
 %CPU %MEM
232.8 10.6


2014/08/29 19:06:12
 %CPU %MEM
  0.0 10.3


2014/08/29 19:06:22
 %CPU %MEM
 19.8 10.3


2014/08/29 19:06:32
 %CPU %MEM
 65.2 10.4


2014/08/29 19:06:42
 %CPU %MEM
189.0 10.6


2014/08/29 19:06:53
 %CPU %MEM
170.0 10.8


2014/08/29 19:07:03
 %CPU %MEM
251.4 11.0


2014/08/29 19:07:13
 %CPU %MEM
178.4 10.1


2014/08/29 19:07:23
 %CPU %MEM
192.4 10.3


2014/08/29 19:07:33
 %CPU %MEM
193.2 10.6


2014/08/29 19:07:43
 %CPU %MEM
194.1 10.7


2014/08/29 19:07:53
 %CPU %MEM
188.8 10.7


2014/08/29 19:08:03
 %CPU %MEM
183.3 10.7


2014/08/29 19:08:13
 %CPU %MEM
164.4 10.7


2014/08/29 19:08:23
 %CPU %MEM
188.9 10.7


2014/08/29 19:08:33
 %CPU %MEM
186.7 10.7


2014/08/29 19:08:43
 %CPU %MEM
